INFO:root:Starting to read file blackscholes_four
INFO:root:Finished reading file blackscholes_four
INFO:root:Starting the computer
DEBUG:root:Current Cycle: 0
DEBUG:root:Current Cycle: 500000
DEBUG:root:Current Cycle: 1000000
DEBUG:root:Current Cycle: 1500000
DEBUG:root:Current Cycle: 2000000
DEBUG:root:Current Cycle: 2500000
DEBUG:root:Current Cycle: 3000000
DEBUG:root:Current Cycle: 3500000
DEBUG:root:Current Cycle: 4000000
DEBUG:root:Current Cycle: 4500000
DEBUG:root:Current Cycle: 5000000
DEBUG:root:Current Cycle: 5500000
DEBUG:root:Current Cycle: 6000000
DEBUG:root:Current Cycle: 6500000
DEBUG:root:Current Cycle: 7000000
DEBUG:root:Current Cycle: 7500000
DEBUG:root:Current Cycle: 8000000
DEBUG:root:Current Cycle: 8500000
DEBUG:root:Current Cycle: 9000000
DEBUG:root:Current Cycle: 9500000
DEBUG:root:Current Cycle: 10000000
DEBUG:root:Current Cycle: 10500000
DEBUG:root:Current Cycle: 11000000
DEBUG:root:Current Cycle: 11500000
DEBUG:root:Current Cycle: 12000000
DEBUG:root:Current Cycle: 12500000
DEBUG:root:Current Cycle: 13000000
DEBUG:root:Current Cycle: 13500000
DEBUG:root:Current Cycle: 14000000
DEBUG:root:Current Cycle: 14500000
DEBUG:root:Current Cycle: 15000000
DEBUG:root:Current Cycle: 15500000
DEBUG:root:Current Cycle: 16000000
DEBUG:root:Current Cycle: 16500000
DEBUG:root:Current Cycle: 17000000
DEBUG:root:Current Cycle: 17500000
DEBUG:root:Current Cycle: 18000000
DEBUG:root:Current Cycle: 18500000
DEBUG:root:Current Cycle: 19000000
DEBUG:root:Current Cycle: 19500000
DEBUG:root:Current Cycle: 20000000
DEBUG:root:Current Cycle: 20500000
DEBUG:root:Current Cycle: 21000000
DEBUG:root:Current Cycle: 21500000
DEBUG:root:Current Cycle: 22000000
DEBUG:root:Current Cycle: 22500000
DEBUG:root:Current Cycle: 23000000
DEBUG:root:Current Cycle: 23500000
DEBUG:root:Current Cycle: 24000000
DEBUG:root:Current Cycle: 24500000
DEBUG:root:Current Cycle: 25000000
DEBUG:root:Current Cycle: 25500000
DEBUG:root:Current Cycle: 26000000
DEBUG:root:Current Cycle: 26500000
DEBUG:root:Current Cycle: 27000000
DEBUG:root:Current Cycle: 27500000
DEBUG:root:Current Cycle: 28000000
DEBUG:root:Current Cycle: 28500000
DEBUG:root:Current Cycle: 29000000
DEBUG:root:Current Cycle: 29500000
DEBUG:root:Current Cycle: 30000000
DEBUG:root:Current Cycle: 30500000
DEBUG:root:Current Cycle: 31000000
DEBUG:root:Current Cycle: 31500000
DEBUG:root:Current Cycle: 32000000
DEBUG:root:Current Cycle: 32500000
DEBUG:root:Current Cycle: 33000000
DEBUG:root:Current Cycle: 33500000
DEBUG:root:Current Cycle: 34000000
DEBUG:root:Current Cycle: 34500000
DEBUG:root:Current Cycle: 35000000
DEBUG:root:Current Cycle: 35500000
DEBUG:root:Current Cycle: 36000000
DEBUG:root:Current Cycle: 36500000
DEBUG:root:Current Cycle: 37000000
DEBUG:root:Current Cycle: 37500000
DEBUG:root:Current Cycle: 38000000
DEBUG:root:Current Cycle: 38500000
DEBUG:root:Current Cycle: 39000000
DEBUG:root:Current Cycle: 39500000
DEBUG:root:Current Cycle: 40000000
DEBUG:root:Current Cycle: 40500000
DEBUG:root:Current Cycle: 41000000
DEBUG:root:Current Cycle: 41500000
DEBUG:root:Current Cycle: 42000000
DEBUG:root:Current Cycle: 42500000
DEBUG:root:Current Cycle: 43000000
DEBUG:root:Current Cycle: 43500000
DEBUG:root:Current Cycle: 44000000
DEBUG:root:Current Cycle: 44500000
DEBUG:root:Current Cycle: 45000000
DEBUG:root:Current Cycle: 45500000
DEBUG:root:Current Cycle: 46000000
DEBUG:root:Current Cycle: 46500000
DEBUG:root:Current Cycle: 47000000
DEBUG:root:Current Cycle: 47500000
DEBUG:root:Current Cycle: 48000000
DEBUG:root:Current Cycle: 48500000
DEBUG:root:Current Cycle: 49000000
DEBUG:root:Current Cycle: 49500000
DEBUG:root:Current Cycle: 50000000
DEBUG:root:Current Cycle: 50500000
DEBUG:root:Current Cycle: 51000000
DEBUG:root:Current Cycle: 51500000
DEBUG:root:Current Cycle: 52000000
DEBUG:root:Current Cycle: 52500000
DEBUG:root:Current Cycle: 53000000
DEBUG:root:Current Cycle: 53500000
DEBUG:root:Current Cycle: 54000000
DEBUG:root:Current Cycle: 54500000
DEBUG:root:Current Cycle: 55000000
DEBUG:root:Current Cycle: 55500000
DEBUG:root:Current Cycle: 56000000
DEBUG:root:Current Cycle: 56500000
DEBUG:root:Current Cycle: 57000000
DEBUG:root:Current Cycle: 57500000
DEBUG:root:Current Cycle: 58000000
DEBUG:root:Current Cycle: 58500000
DEBUG:root:Current Cycle: 59000000
DEBUG:root:Current Cycle: 59500000
DEBUG:root:Current Cycle: 60000000
DEBUG:root:Current Cycle: 60500000
DEBUG:root:Current Cycle: 61000000
DEBUG:root:Current Cycle: 61500000
DEBUG:root:Current Cycle: 62000000
DEBUG:root:Current Cycle: 62500000
DEBUG:root:Current Cycle: 63000000
DEBUG:root:Current Cycle: 63500000
DEBUG:root:Current Cycle: 64000000
DEBUG:root:Current Cycle: 64500000
DEBUG:root:Current Cycle: 65000000
DEBUG:root:Current Cycle: 65500000
DEBUG:root:Current Cycle: 66000000
DEBUG:root:Current Cycle: 66500000
DEBUG:root:Current Cycle: 67000000
DEBUG:root:Current Cycle: 67500000
DEBUG:root:Current Cycle: 68000000
DEBUG:root:Current Cycle: 68500000
DEBUG:root:Current Cycle: 69000000
DEBUG:root:Current Cycle: 69500000
DEBUG:root:Current Cycle: 70000000
DEBUG:root:Current Cycle: 70500000
DEBUG:root:Current Cycle: 71000000
DEBUG:root:Current Cycle: 71500000
DEBUG:root:Current Cycle: 72000000
DEBUG:root:Current Cycle: 72500000
DEBUG:root:Current Cycle: 73000000
DEBUG:root:Current Cycle: 73500000
DEBUG:root:Current Cycle: 74000000
DEBUG:root:Current Cycle: 74500000
DEBUG:root:Current Cycle: 75000000
DEBUG:root:Current Cycle: 75500000
DEBUG:root:Current Cycle: 76000000
DEBUG:root:Current Cycle: 76500000
DEBUG:root:Current Cycle: 77000000
DEBUG:root:Current Cycle: 77500000
DEBUG:root:Current Cycle: 78000000
DEBUG:root:Current Cycle: 78500000
DEBUG:root:Current Cycle: 79000000
DEBUG:root:Current Cycle: 79500000
DEBUG:root:Current Cycle: 80000000
DEBUG:root:Current Cycle: 80500000
DEBUG:root:Current Cycle: 81000000
DEBUG:root:Current Cycle: 81500000
DEBUG:root:Current Cycle: 82000000
DEBUG:root:Current Cycle: 82500000
DEBUG:root:Current Cycle: 83000000
DEBUG:root:Current Cycle: 83500000
DEBUG:root:Current Cycle: 84000000
DEBUG:root:Current Cycle: 84500000
DEBUG:root:Current Cycle: 85000000
DEBUG:root:Current Cycle: 85500000
DEBUG:root:Current Cycle: 86000000
DEBUG:root:Current Cycle: 86500000
DEBUG:root:Current Cycle: 87000000
DEBUG:root:Current Cycle: 87500000
DEBUG:root:Current Cycle: 88000000
DEBUG:root:Current Cycle: 88500000
DEBUG:root:Current Cycle: 89000000
DEBUG:root:Current Cycle: 89500000
DEBUG:root:Current Cycle: 90000000
DEBUG:root:Current Cycle: 90500000
DEBUG:root:Current Cycle: 91000000
DEBUG:root:Current Cycle: 91500000
DEBUG:root:Current Cycle: 92000000
DEBUG:root:Current Cycle: 92500000
DEBUG:root:Current Cycle: 93000000
DEBUG:root:Current Cycle: 93500000
DEBUG:root:Current Cycle: 94000000
DEBUG:root:Current Cycle: 94500000
DEBUG:root:Current Cycle: 95000000
DEBUG:root:Current Cycle: 95500000
DEBUG:root:Current Cycle: 96000000
DEBUG:root:Current Cycle: 96500000
DEBUG:root:Current Cycle: 97000000
DEBUG:root:Current Cycle: 97500000
DEBUG:root:Current Cycle: 98000000
DEBUG:root:Current Cycle: 98500000
DEBUG:root:Current Cycle: 99000000
DEBUG:root:Current Cycle: 99500000
DEBUG:root:Current Cycle: 100000000
DEBUG:root:Current Cycle: 100500000
DEBUG:root:Current Cycle: 101000000
DEBUG:root:Current Cycle: 101500000
DEBUG:root:Current Cycle: 102000000
DEBUG:root:Current Cycle: 102500000
DEBUG:root:Current Cycle: 103000000
DEBUG:root:Current Cycle: 103500000
DEBUG:root:Current Cycle: 104000000
DEBUG:root:Current Cycle: 104500000
DEBUG:root:Current Cycle: 105000000
DEBUG:root:Current Cycle: 105500000
DEBUG:root:Current Cycle: 106000000
DEBUG:root:Current Cycle: 106500000
DEBUG:root:Current Cycle: 107000000
DEBUG:root:Current Cycle: 107500000
DEBUG:root:Current Cycle: 108000000
DEBUG:root:Current Cycle: 108500000
DEBUG:root:Current Cycle: 109000000
DEBUG:root:Current Cycle: 109500000
DEBUG:root:Current Cycle: 110000000
DEBUG:root:Current Cycle: 110500000
DEBUG:root:Current Cycle: 111000000
DEBUG:root:Current Cycle: 111500000
DEBUG:root:Current Cycle: 112000000
DEBUG:root:Current Cycle: 112500000
DEBUG:root:Current Cycle: 113000000
DEBUG:root:Current Cycle: 113500000
DEBUG:root:Current Cycle: 114000000
DEBUG:root:Current Cycle: 114500000
DEBUG:root:Current Cycle: 115000000
DEBUG:root:Current Cycle: 115500000
DEBUG:root:Current Cycle: 116000000
DEBUG:root:Current Cycle: 116500000
DEBUG:root:Current Cycle: 117000000
DEBUG:root:Current Cycle: 117500000
DEBUG:root:Current Cycle: 118000000
DEBUG:root:Current Cycle: 118500000
